frame_number,landmark,x,y,z
12,LEFT_EYE_INNER,0.3693,0.2402,-0.3874
12,LEFT_EYE,0.3741,0.2406,-0.3874
12,LEFT_EYE_OUTER,0.3788,0.2408,-0.3873
12,RIGHT_EYE_INNER,0.357,0.2398,-0.385
12,RIGHT_EYE,0.3533,0.2399,-0.385
12,RIGHT_EYE_OUTER,0.3499,0.24,-0.385
12,LEFT_EAR,0.3861,0.247,-0.2559
12,RIGHT_EAR,0.3482,0.2452,-0.2487
12,MOUTH_LEFT,0.3691,0.27,-0.3528
12,MOUTH_RIGHT,0.3541,0.2693,-0.3506
12,LEFT_SHOULDER,0.4257,0.3475,-0.1567
12,RIGHT_SHOULDER,0.3118,0.3379,-0.1329
12,LEFT_ELBOW,0.4473,0.4682,-0.0948
12,RIGHT_ELBOW,0.2916,0.4533,-0.0643
12,LEFT_WRIST,0.441,0.572,-0.2138
12,RIGHT_WRIST,0.2817,0.5516,-0.1824
12,LEFT_PINKY,0.4395,0.6007,-0.2503
12,RIGHT_PINKY,0.2759,0.5838,-0.2177
12,LEFT_INDEX,0.4305,0.5976,-0.2905
12,RIGHT_INDEX,0.2835,0.5821,-0.2592
12,LEFT_THUMB,0.4292,0.5872,-0.2307
12,RIGHT_THUMB,0.2874,0.5707,-0.2011
12,LEFT_HIP,0.3996,0.5723,-0.0061
12,RIGHT_HIP,0.3325,0.5703,0.006
12,LEFT_KNEE,0.3949,0.744,0.0128
12,RIGHT_KNEE,0.3316,0.7412,0.0186
12,LEFT_ANKLE,0.3906,0.8923,0.2178
12,RIGHT_ANKLE,0.331,0.8916,0.2222
12,LEFT_HEEL,0.3849,0.9074,0.2282
12,RIGHT_HEEL,0.3378,0.9101,0.2328
12,LEFT_FOOT_INDEX,0.3925,0.9547,0.0722
12,RIGHT_FOOT_INDEX,0.3137,0.9559,0.0782
13,NOSE,0.3606,0.253,-0.4106
13,LEFT_EYE_INNER,0.3691,0.2402,-0.3944
13,LEFT_EYE,0.3738,0.2406,-0.3944
13,LEFT_EYE_OUTER,0.3785,0.2408,-0.3943
13,RIGHT_EYE_INNER,0.3565,0.2398,-0.392
13,RIGHT_EYE,0.3526,0.24,-0.392
13,RIGHT_EYE_OUTER,0.3492,0.24,-0.392
13,LEFT_EAR,0.3856,0.247,-0.2629
13,RIGHT_EAR,0.3473,0.2452,-0.2553
13,MOUTH_LEFT,0.369,0.27,-0.359
13,MOUTH_RIGHT,0.3538,0.2694,-0.3569
13,LEFT_SHOULDER,0.4253,0.3472,-0.1631
13,RIGHT_SHOULDER,0.3107,0.3378,-0.1367
13,LEFT_ELBOW,0.4467,0.4679,-0.0967
13,RIGHT_ELBOW,0.2912,0.4538,-0.0652
13,LEFT_WRIST,0.4397,0.5722,-0.2133
13,RIGHT_WRIST,0.2824,0.5543,-0.1807
13,LEFT_PINKY,0.4377,0.601,-0.249
13,RIGHT_PINKY,0.2765,0.5862,-0.2148
13,LEFT_INDEX,0.4292,0.5979,-0.289
13,RIGHT_INDEX,0.2839,0.5846,-0.2567
13,LEFT_THUMB,0.428,0.5875,-0.2299
13,RIGHT_THUMB,0.2878,0.5727,-0.1993
13,LEFT_HIP,0.3992,0.5718,-0.0061
13,RIGHT_HIP,0.3325,0.5702,0.006
13,LEFT_KNEE,0.3949,0.7428,0.0126
13,RIGHT_KNEE,0.3316,0.7412,0.0175
13,LEFT_ANKLE,0.3906,0.8923,0.2174
13,RIGHT_ANKLE,0.3311,0.8916,0.2228
13,LEFT_HEEL,0.3848,0.9074,0.228
13,RIGHT_HEEL,0.3377,0.9101,0.2336
13,LEFT_FOOT_INDEX,0.3929,0.9548,0.0718
13,RIGHT_FOOT_INDEX,0.3141,0.9559,0.0785
14,NOSE,0.3606,0.253,-0.4215
14,LEFT_EYE_INNER,0.3689,0.2402,-0.4052
14,LEFT_EYE,0.3736,0.2406,-0.4052
14,LEFT_EYE_OUTER,0.3782,0.2409,-0.4052
14,RIGHT_EYE_INNER,0.3562,0.2399,-0.4033
14,RIGHT_EYE,0.3522,0.24,-0.4033
14,RIGHT_EYE_OUTER,0.3487,0.2401,-0.4033
14,LEFT_EAR,0.3849,0.247,-0.272
14,RIGHT_EAR,0.3466,0.2452,-0.2659
14,MOUTH_LEFT,0.369,0.27,-0.3689
14,MOUTH_RIGHT,0.3534,0.2694,-0.3673
14,LEFT_SHOULDER,0.4248,0.3469,-0.1719
14,RIGHT_SHOULDER,0.3101,0.3377,-0.1438
14,LEFT_ELBOW,0.4462,0.4673,-0.1011
14,RIGHT_ELBOW,0.2909,0.4545,-0.0687
14,LEFT_WRIST,0.4398,0.5721,-0.2124
14,RIGHT_WRIST,0.2831,0.5593,-0.1796
14,LEFT_PINKY,0.4379,0.6012,-0.2473
14,RIGHT_PINKY,0.2773,0.5923,-0.2128
14,LEFT_INDEX,0.4295,0.5981,-0.2874
14,RIGHT_INDEX,0.2844,0.5915,-0.2549
14,LEFT_THUMB,0.4282,0.5876,-0.2289
14,RIGHT_THUMB,0.2884,0.5783,-0.1982
14,LEFT_HIP,0.3989,0.5714,-0.006
14,RIGHT_HIP,0.3324,0.57,0.0059
14,LEFT_KNEE,0.3949,0.7424,0.0121
14,RIGHT_KNEE,0.3313,0.7404,0.0165
14,LEFT_ANKLE,0.3907,0.8924,0.2177
14,RIGHT_ANKLE,0.3311,0.8913,0.2235
14,LEFT_HEEL,0.3848,0.9074,0.2285
14,RIGHT_HEEL,0.3377,0.91,0.2343
14,LEFT_FOOT_INDEX,0.3937,0.9549,0.0714
14,RIGHT_FOOT_INDEX,0.3141,0.9558,0.0784
15,NOSE,0.3605,0.253,-0.4233
15,LEFT_EYE_INNER,0.3688,0.2402,-0.4069
15,LEFT_EYE,0.3734,0.2406,-0.4069
15,LEFT_EYE_OUTER,0.3781,0.2409,-0.4068
15,RIGHT_EYE_INNER,0.3561,0.2399,-0.4052
15,RIGHT_EYE,0.352,0.24,-0.4052
15,RIGHT_EYE_OUTER,0.3484,0.2401,-0.4052
15,LEFT_EAR,0.3845,0.247,-0.2736
15,RIGHT_EAR,0.3462,0.2453,-0.2684
15,MOUTH_LEFT,0.369,0.2701,-0.3707
15,MOUTH_RIGHT,0.3533,0.2695,-0.3695
15,LEFT_SHOULDER,0.4242,0.3465,-0.1744
15,RIGHT_SHOULDER,0.3097,0.3376,-0.1466
15,LEFT_ELBOW,0.4457,0.4668,-0.1025
15,RIGHT_ELBOW,0.2907,0.4549,-0.0725
15,LEFT_WRIST,0.4397,0.5721,-0.2118
